"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.558629303E0,2.964884491E0,1.022149429E1,1.094605269E1
1.004999998E-2,-2.395019531E0,3.016976166E0,1.042477158E1,1.111369093E1
2.009900002E-2,-2.151475983E0,3.052901459E0,1.049273026E1,1.113761395E1
3.014799999E-2,-1.965412903E0,3.089275818E0,1.054227722E1,1.116002159E1
4.019799997E-2,-1.824256439E0,3.133733368E0,1.057595718E1,1.118029815E1
5.024700001E-2,-1.704206085E0,3.209775238E0,1.061472656E1,1.121959872E1
6.029599998E-2,-1.505718842E0,3.251239014E0,1.070064789E1,1.128457397E1
7.034600002E-2,-1.366508331E0,3.314707031E0,1.086919739E1,1.144526450E1
8.039787499E-2,-1.275647278E0,3.384461975E0,1.103924377E1,1.161665881E1
9.044687502E-2,-1.142723694E0,3.429069214E0,1.114911530E1,1.172037137E1
1.004968750E-1,-9.572593689E-1,3.439248047E0,1.123518631E1,1.178873123E1
1.105458750E-1,-8.165519714E-1,3.404071198E0,1.130778534E1,1.183724914E1
1.205948750E-1,-7.454498291E-1,3.312012634E0,1.134820129E1,1.184511696E1
1.306448750E-1,-7.339237976E-1,3.266806641E0,1.146391068E1,1.194286053E1
1.406938750E-1,-8.080197144E-1,3.229534149E0,1.169293442E1,1.215761087E1
1.507428750E-1,-7.984396362E-1,3.134930878E0,1.194545929E1,1.237575432E1
1.607928750E-1,-6.929090881E-1,3.041076050E0,1.216744766E1,1.256085384E1
1.708418750E-1,-6.370751953E-1,2.943778381E0,1.242266693E1,1.278257993E1
1.808908750E-1,-6.462062073E-1,2.829116821E0,1.265663040E1,1.298505978E1
1.909408750E-1,-6.641688538E-1,2.692301331E0,1.278087204E1,1.307823753E1
2.009898750E-1,-7.304809570E-1,2.533032532E0,1.273836044E1,1.300829286E1
2.110388750E-1,-8.327183533E-1,2.359842682E0,1.259825180E1,1.284438499E1
2.210888750E-1,-9.372010803E-1,2.227218475E0,1.242970230E1,1.266239895E1
2.311378750E-1,-9.987231445E-1,2.128423920E0,1.225396774E1,1.247747417E1
2.411868750E-1,-9.451345825E-1,2.079625397E0,1.202659058E1,1.224160946E1
2.512368750E-1,-7.291337585E-1,2.075733490E0,1.174472672E1,1.194901298E1
2.612858750E-1,-5.441184998E-1,2.084265747E0,1.149803970E1,1.169808299E1
2.713348750E-1,-4.492158508E-1,2.092648315E0,1.129551086E1,1.149650110E1
2.813848750E-1,-3.948788452E-1,2.143243103E0,1.105690704E1,1.126963237E1
2.914338750E-1,-2.755769348E-1,2.128274231E0,1.073522598E1,1.094762854E1
3.014828750E-1,-1.731898499E-1,2.136956177E0,1.043929138E1,1.065717509E1
3.115328750E-1,-8.277786255E-2,2.135758667E0,1.019978943E1,1.042132533E1
3.215818750E-1,-4.580474854E-2,2.170037384E0,1.002225861E1,1.025460033E1
3.316308750E-1,-2.799179077E-2,2.219883728E0,9.815688171E0,1.006361772E1
3.416808750E-1,-5.837860107E-3,2.263143768E0,9.528285828E0,9.793369421E0
3.517298750E-1,1.119671631E-1,2.338287506E0,9.111851807E0,9.407761075E0
3.617798750E-1,4.275109863E-1,2.441123657E0,8.492290192E0,8.846515871E0
3.718288750E-1,7.053332520E-1,2.564167786E0,7.913144531E0,8.348072101E0
3.818778750E-1,9.211843872E-1,2.721790009E0,7.515720978E0,8.046290036E0
3.919268750E-1,1.096020813E0,2.853366394E0,7.150031433E0,7.775982954E0
4.019768750E-1,1.047371979E0,3.021766205E0,6.924600220E0,7.627460079E0
4.120258750E-1,9.713301086E-1,3.185825043E0,6.778504028E0,7.552554551E0
4.220758750E-1,9.737251282E-1,3.269051971E0,6.587650909E0,7.418354664E0
4.321248750E-1,1.033301239E0,3.376977539E0,6.389013977E0,7.300081393E0
4.421738750E-1,1.140029297E0,3.480711823E0,6.206393738E0,7.206548745E0
4.522238750E-1,1.470541992E0,3.596271515E0,5.877677307E0,7.045761356E0
4.622728750E-1,1.910626831E0,3.757935333E0,5.580545197E0,6.993930050E0
4.723218750E-1,2.231559448E0,3.958967285E0,5.430706787E0,7.081373860E0
4.823718750E-1,2.460283813E0,4.093986511E0,5.325924683E0,7.153963637E0
4.924208750E-1,2.582429810E0,4.197571106E0,5.324727173E0,7.255430130E0
5.024698750E-1,2.523003387E0,4.324806519E0,5.448669434E0,7.399830816E0
5.125198750E-1,2.505789185E0,4.422403564E0,5.614973602E0,7.573939614E0
5.225688750E-1,2.572250977E0,4.534670105E0,5.719456329E0,7.738984995E0
5.326178750E-1,2.634521484E0,4.708309021E0,5.675747223E0,7.830899299E0
5.426678750E-1,2.773133240E0,4.881498871E0,5.503455505E0,7.861763269E0
5.527168750E-1,2.936743011E0,5.074447632E0,5.359305267E0,7.943338796E0
5.627658750E-1,3.147205353E0,5.256618805E0,5.192252655E0,8.030966967E0
5.728158750E-1,3.363804932E0,5.422324219E0,5.107977905E0,8.173629661E0
5.828648750E-1,3.480861511E0,5.564378815E0,5.271437988E0,8.418240132E0
5.929138750E-1,3.609144745E0,5.764362946E0,5.489833832E0,8.740256373E0
6.029638750E-1,3.779939575E0,5.934409332E0,5.700894928E0,9.055681106E0
6.130128750E-1,3.912563782E0,6.057004395E0,5.958958282E0,9.354391557E0
6.230618750E-1,4.115691376E0,6.219865723E0,6.165828094E0,9.676935527E0
6.331118750E-1,4.328848114E0,6.337371368E0,6.429130554E0,1.001173919E1
6.431608750E-1,4.427792358E0,6.422095184E0,6.708300018E0,1.028834004E1
6.532098750E-1,4.469705200E0,6.467899933E0,6.902446289E0,1.046211063E1
6.632598750E-1,4.479434967E0,6.489904175E0,7.035220184E0,1.056780568E1
6.733088750E-1,4.542753296E0,6.608757019E0,7.142546997E0,1.073909933E1
6.833578750E-1,4.715793457E0,6.805148621E0,7.226522369E0,1.098960332E1
6.934078750E-1,4.980592804E0,7.023394775E0,7.248227234E0,1.125482905E1
7.034568750E-1,5.339546356E0,7.201224976E0,7.166497192E0,1.147724176E1
7.135058750E-1,5.700745239E0,7.312593384E0,7.121740265E0,1.169152268E1
7.235558750E-1,5.991141357E0,7.411238251E0,7.039860535E0,1.184820086E1
7.336048750E-1,6.194418640E0,7.395221558E0,7.091802521E0,1.197304419E1
7.436538750E-1,6.207591248E0,7.436535645E0,7.320077820E0,1.214165519E1
7.537028750E-1,6.143823853E0,7.479346619E0,7.596403198E0,1.230416754E1
7.637528750E-1,6.188580780E0,7.545209656E0,7.844287720E0,1.252044610E1
7.738018750E-1,6.370901642E0,7.659721527E0,7.812703400E0,1.266088686E1
7.838508750E-1,6.527176666E0,7.762557678E0,7.701185303E0,1.273458252E1
7.939008750E-1,6.588998108E0,7.860005035E0,7.379354553E0,1.263524629E1
8.039498750E-1,6.635700989E0,7.919281769E0,6.774911499E0,1.235503853E1
8.139988750E-1,6.610403595E0,8.065827026E0,6.044729919E0,1.205378617E1
8.240488750E-1,6.688840485E0,8.121511230E0,5.410648499E0,1.183108824E1
8.340978750E-1,6.773564301E0,8.181237030E0,4.837640076E0,1.167118564E1
8.441478750E-1,6.881190491E0,8.270900574E0,4.517904968E0,1.166919210E1
8.541968750E-1,6.969656525E0,8.347092133E0,4.590653687E0,1.180356558E1
8.642458750E-1,7.015910339E0,8.347241821E0,4.661755829E0,1.185881155E1
8.742948750E-1,6.957980804E0,8.312963104E0,4.721781006E0,1.182429991E1
8.843448750E-1,6.804100800E0,8.272996216E0,4.826712799E0,1.174884720E1
8.943938750E-1,6.629863129E0,8.251740417E0,4.643044739E0,1.155872698E1
9.044428750E-1,6.458319855E0,8.163723450E0,4.316423950E0,1.126888600E1
9.144928750E-1,6.253845062E0,8.130043488E0,4.070186005E0,1.103515289E1
9.245418750E-1,6.232738953E0,8.082292786E0,3.730242920E0,1.086670160E1
9.345908750E-1,6.282585297E0,8.070617065E0,3.531605988E0,1.082025779E1
9.446408750E-1,6.058650970E0,8.114176483E0,3.324885864E0,1.065842285E1
9.546898750E-1,5.787415009E0,8.130193176E0,2.975063324E0,1.041370325E1
9.647388750E-1,5.513484650E0,8.143814850E0,2.499202881E0,1.014722860E1
9.747888750E-1,5.390290833E0,8.065527649E0,2.107168121E0,9.927141029E0
9.848378750E-1,5.214107208E0,8.070467377E0,2.035766602E0,9.821593726E0
9.948868750E-1,4.920417938E0,8.081843719E0,2.312241669E0,9.740286039E0
1.004936875E0,4.731211395E0,8.068072357E0,2.524051208E0,9.687568701E0
1.014985875E0,4.599635010E0,8.022417297E0,2.641257477E0,9.617279375E0
1.025034875E0,4.486919403E0,8.054151306E0,2.354902954E0,9.515638019E0
1.035084875E0,4.430187378E0,8.077203369E0,1.758692780E0,9.378740574E0
1.045133875E0,4.428091736E0,8.090375977E0,1.142723694E0,9.293438400E0
1.055182875E0,4.459825745E0,8.189170532E0,5.917195129E-1,9.343590940E0
1.065232875E0,4.445006561E0,8.232131195E0,-5.388793945E-3,9.355538273E0
1.075277458E0,4.609215088E0,8.167016602E0,-2.532733154E-1,9.381320337E0
1.085326458E0,4.508025513E0,8.197253723E0,1.077758789E-2,9.355072356E0
1.095376458E0,4.155209198E0,8.269253998E0,9.804611206E-2,9.255049335E0
1.105425458E0,3.814218292E0,8.324040070E0,-1.844165039E-1,9.158161044E0
1.115474458E0,3.619024200E0,8.271649017E0,-7.755372620E-1,9.061951869E0
1.125524458E0,3.390150146E0,8.206534424E0,-1.460812225E0,8.998571977E0
1.135573458E0,3.121009827E0,8.170309753E0,-2.323318634E0,9.049446021E0
1.145622458E0,2.947221222E0,8.090375977E0,-2.836601257E0,9.065682714E0
1.155672458E0,2.925666046E0,8.000562744E0,-3.372486877E0,9.161997259E0
1.165721458E0,2.967129822E0,7.960595856E0,-3.504063263E0,9.189853378E0
1.175770458E0,3.007396088E0,7.939190369E0,-3.826193390E0,9.312085201E0
1.185820458E0,3.024310913E0,7.989186401E0,-3.977079620E0,9.422882689E0
1.195869458E0,3.137325897E0,7.966134338E0,-3.891008606E0,9.404363777E0
1.205918458E0,3.055446167E0,8.020770721E0,-3.771706696E0,9.375195232E0
1.215968458E0,2.754571838E0,8.127199402E0,-3.742966461E0,9.362095602E0
1.226017458E0,2.577939148E0,8.183033295E0,-4.020040283E0,9.474625482E0
1.236066458E0,2.433788910E0,8.073910217E0,-4.120481415E0,9.385612486E0
1.246116458E0,2.122586060E0,7.949219513E0,-4.569248199E0,9.411349083E0
1.256165458E0,1.769320679E0,7.831264801E0,-4.725223846E0,9.315951076E0
1.266214458E0,1.393901367E0,7.718698883E0,-4.853956146E0,9.223999335E0
1.276264458E0,1.274000702E0,7.810009003E0,-4.825365601E0,9.268412571E0
1.286313458E0,1.133892059E0,7.839497681E0,-4.847968597E0,9.286885086E0
1.296362458E0,1.202449493E0,7.888296204E0,-4.984335022E0,9.408224986E0
1.306412458E0,1.144519958E0,7.954907684E0,-5.122946777E0,9.530743197E0
1.316461458E0,9.581575012E-1,7.967032471E0,-5.264402618E0,9.597166619E0
1.326510458E0,8.349636841E-1,7.984246674E0,-5.234315186E0,9.583497001E0
1.336560458E0,8.563691711E-1,7.908803558E0,-4.899311829E0,9.342686887E0
1.346609458E0,6.264472961E-1,8.089627533E0,-4.577630768E0,9.316072847E0
1.356658458E0,4.846920776E-1,8.159382477E0,-4.621639252E0,9.389888082E0
1.366708458E0,3.317102051E-1,8.212372284E0,-4.656367035E0,9.446419647E0
1.376757458E0,1.110690308E-1,8.139174500E0,-4.929548950E0,9.516246672E0
1.386806458E0,-1.335223389E-1,8.049061890E0,-5.149591370E0,9.556333857E0
1.396855458E0,-3.891906738E-1,7.989336090E0,-5.343438263E0,9.619422696E0
1.406905458E0,-5.517526245E-1,8.000263367E0,-5.569917297E0,9.763842665E0
1.416954458E0,-5.992039490E-1,8.134534149E0,-5.555846558E0,9.868998033E0
1.427003458E0,-6.834786987E-1,8.130043488E0,-5.824388123E0,1.002438264E1
1.437053458E0,-7.779322815E-1,8.096064148E0,-5.863756256E0,1.002671785E1
1.447102458E0,-1.024170227E0,8.100255432E0,-5.788313141E0,1.000837808E1
1.457151458E0,-1.438807983E0,8.148155823E0,-5.422024841E0,9.892470121E0
1.467201458E0,-1.881287842E0,8.154891815E0,-5.045408020E0,9.772289729E0
1.477250458E0,-2.192341003E0,8.122559052E0,-4.802762604E0,9.687561780E0
1.487299458E0,-2.419418793E0,8.086035004E0,-4.669988708E0,9.646053282E0
1.497349458E0,-2.555336151E0,8.100854187E0,-4.537663879E0,9.630367329E0
1.507398458E0,-2.475851440E0,8.168214111E0,-4.597090302E0,9.694472722E0
1.517447458E0,-2.413580933E0,8.160729675E0,-4.580923920E0,9.664768270E0
1.527497458E0,-2.461631012E0,8.159681854E0,-4.307592316E0,9.549627572E0
1.537546458E0,-2.657124481E0,8.229885864E0,-3.944896545E0,9.505447943E0
1.547595458E0,-2.853366394E0,8.329428864E0,-3.444187775E0,9.454285504E0
1.557645458E0,-2.649190979E0,8.474177856E0,-3.031495972E0,9.381890588E0
1.567694458E0,-2.490371246E0,8.606802063E0,-2.796933746E0,9.386257459E0
1.577743458E0,-2.494263153E0,8.686586151E0,-2.599494324E0,9.404015014E0
1.587793458E0,-2.539469147E0,8.574618988E0,-2.381397858E0,9.254407063E0
1.597842458E0,-2.832110596E0,8.741222534E0,-2.132465515E0,9.432774300E0
1.607891458E0,-3.093317413E0,8.607101440E0,-2.074535980E0,9.378406440E0
1.617941458E0,-3.386856995E0,8.622519379E0,-1.942061462E0,9.465212278E0
1.627990458E0,-3.506757660E0,8.492589569E0,-1.721120911E0,9.347924051E0
1.638039458E0,-3.509751434E0,8.483159180E0,-1.389560394E0,9.285107586E0
1.648089458E0,-3.401975555E0,8.444689178E0,-1.277144165E0,9.193329659E0
1.658138458E0,-3.313060455E0,8.339757385E0,-1.024619293E0,9.032041160E0
1.668187458E0,-3.210074615E0,8.288563843E0,-6.698570251E-1,8.913673656E0
1.678237458E0,-3.114124146E0,8.221054230E0,-4.195774841E-1,8.801110561E0
1.688286458E0,-3.077151031E0,8.033045197E0,-1.302291870E-2,8.602258029E0
1.698335458E0,-3.209775238E0,7.761509857E0,5.023553467E-1,8.414039056E0
1.708385458E0,-3.515888672E0,7.558981018E0,1.080752563E0,8.406407871E0
1.718434458E0,-3.770359497E0,7.433092804E0,1.622925110E0,8.491193396E0
1.728483458E0,-3.852538605E0,7.254364471E0,1.946701813E0,8.441416086E0
1.738533458E0,-3.882027283E0,7.022197266E0,2.248773651E0,8.332969050E0
1.748582458E0,-3.907624054E0,6.752757568E0,2.509082336E0,8.195410587E0
1.758631458E0,-3.831582184E0,6.528523865E0,2.959196320E0,8.127698859E0
1.768680458E0,-3.775748291E0,6.415808258E0,3.528462524E0,8.238259437E0
1.778730458E0,-3.806284790E0,6.252497864E0,3.737278290E0,8.218806632E0
1.788779458E0,-3.928430786E0,6.147117004E0,3.989803162E0,8.314935067E0
1.798828458E0,-4.173171844E0,6.004613342E0,3.966751099E0,8.319005885E0
1.808878458E0,-4.302353210E0,5.754633179E0,4.004622345E0,8.225755059E0
1.818927458E0,-4.399800568E0,5.489085388E0,4.171974335E0,8.178855255E0
1.828976458E0,-4.425547028E0,5.317542114E0,4.350852356E0,8.172615056E0
1.839026458E0,-4.426894226E0,5.085225220E0,4.645888824E0,8.187868526E0
1.849075458E0,-4.439617767E0,4.936584320E0,4.894072723E0,8.248152429E0
1.859124458E0,-4.429289246E0,4.657863922E0,5.028493195E0,8.160884961E0
1.869174458E0,-4.536166992E0,4.388274536E0,5.219496002E0,8.190049017E0
1.879223458E0,-4.805606689E0,4.149071960E0,5.528902588E0,8.418872704E0
1.889272458E0,-5.038821716E0,3.815415802E0,6.004313965E0,8.717735269E0
1.899322458E0,-5.110223236E0,3.619772644E0,6.416556702E0,8.966010006E0
1.909371458E0,-5.069507904E0,3.470532990E0,6.729406128E0,9.112047874E0
1.919420458E0,-4.948409729E0,3.173550568E0,7.130871277E0,9.241618214E0
1.929470458E0,-4.893473969E0,2.985242157E0,7.455695801E0,9.404528595E0
1.939519458E0,-4.807402954E0,2.825224915E0,7.624844055E0,9.446230245E0
1.949568458E0,-4.814737701E0,2.778072968E0,8.057444458E0,9.788861003E0
1.959618458E0,-4.922363892E0,2.764451294E0,8.374485168E0,1.009969599E1
1.969667458E0,-5.020559692E0,2.491119690E0,8.494385834E0,1.017675231E1
1.979716458E0,-5.234614563E0,2.495011597E0,8.746162262E0,1.049388521E1
1.989766458E0,-5.344935150E0,2.377805328E0,8.737929382E0,1.051540298E1
1.999815458E0,-5.196893005E0,2.162403259E0,8.694220276E0,1.035727527E1
2.009864458E0,-5.016667786E0,2.112706604E0,8.683292999E0,1.024841755E1
2.019913458E0,-4.963827667E0,2.101629639E0,8.768016815E0,1.029245117E1
2.029963458E0,-4.866529999E0,2.076931000E0,8.929980011E0,1.037985065E1
2.040012458E0,-4.758005676E0,1.956880646E0,9.011560364E0,1.037671528E1
2.050061458E0,-4.601880341E0,1.965113525E0,9.175469513E0,1.045123029E1
2.060111458E0,-4.392765198E0,1.923200684E0,9.281299438E0,1.044689457E1
2.070160458E0,-4.195625153E0,1.847907257E0,9.232051849E0,1.030770649E1
2.080210625E0,-4.120930481E0,1.831591187E0,9.305099945E0,1.034029397E1
2.090260625E0,-4.122726746E0,1.786235504E0,9.353748779E0,1.037690365E1
2.100309625E0,-4.082909546E0,1.709894257E0,9.285341034E0,1.028646911E1
2.110358625E0,-3.920048218E0,1.717229004E0,9.230105896E0,1.017401142E1
2.120408625E0,-3.717818756E0,1.674268341E0,9.193282471E0,1.005692763E1
2.130457625E0,-3.443888397E0,1.693428497E0,9.146130524E0,9.918657718E0
2.140506625E0,-3.127745819E0,1.747615814E0,9.239685974E0,9.910032888E0
2.150556625E0,-2.893632660E0,1.818268890E0,9.372459869E0,9.976082183E0
2.160605625E0,-2.757266235E0,1.780247955E0,9.297765198E0,9.860032330E0
2.170654625E0,-2.548899536E0,1.752705231E0,9.150621185E0,9.659333960E0
2.180704625E0,-2.397863617E0,1.699715424E0,9.007818146E0,9.475208187E0
2.190753625E0,-2.253863068E0,1.709445190E0,8.890911255E0,9.330080628E0
2.200802625E0,-2.053429871E0,1.778152313E0,8.821755066E0,9.230480070E0
2.210852625E0,-1.901795197E0,1.861528931E0,8.889713745E0,9.279500277E0
2.220901625E0,-1.884580994E0,1.923949127E0,9.034313049E0,9.427196722E0
2.230950625E0,-1.644779663E0,1.883982239E0,9.091643829E0,9.429351873E0
2.241000625E0,-1.204545135E0,1.864073639E0,9.167236633E0,9.432069073E0
2.251049625E0,-5.737568665E-1,1.878743134E0,9.328750763E0,9.533334333E0
2.261098625E0,-9.280700684E-2,1.893262939E0,9.431586914E0,9.620181361E0
2.271148625E0,2.749781799E-1,1.878743134E0,9.529633026E0,9.716953966E0
2.281197625E0,3.655398560E-1,1.921254730E0,9.677675171E0,9.873309265E0
2.291246625E0,2.905458069E-1,1.949246521E0,9.629176025E0,9.828784757E0
2.301296625E0,3.013233948E-1,1.930385742E0,9.722432098E0,9.916797407E0
2.311345625E0,2.731819153E-1,1.899549866E0,9.901310120E0,1.008557684E1
2.321394625E0,3.794609070E-1,1.887874146E0,1.000055374E1,1.018425915E1
2.331443625E0,5.962101746E-1,1.770967255E0,1.013826736E1,1.030903762E1
2.341493625E0,1.013841705E0,1.696871338E0,1.021086639E1,1.040043460E1
2.351542625E0,1.558858337E0,1.783391418E0,1.021939865E1,1.049031139E1
2.361591625E0,2.110012207E0,1.884281616E0,1.025068359E1,1.063386961E1
2.371641625E0,2.440824280E0,2.021995239E0,1.031445099E1,1.079045815E1
2.381690625E0,2.568658447E0,2.134561157E0,1.030382309E1,1.083158012E1
2.391739625E0,2.625689850E0,2.261796570E0,1.055185730E1,1.110637940E1
2.401789625E0,2.676733704E0,2.481539612E0,1.068897217E1,1.129500191E1
2.411838625E0,2.855462036E0,2.618654480E0,1.080243622E1,1.147622076E1
2.421887625E0,3.243455200E0,2.717898102E0,1.077668976E1,1.157773786E1
2.431937625E0,3.733985138E0,2.832559662E0,1.074136322E1,1.171933970E1
2.441986625E0,4.152065735E0,2.968177643E0,1.061008621E1,1.177385484E1
2.452035625E0,4.519701233E0,3.037034454E0,1.051608170E1,1.184226548E1
2.462085625E0,4.715194702E0,3.057392120E0,1.061981598E1,1.201504054E1
